Title,Brand,Category,Link,Made In,Notes
Squalane + Ectoin Overnight Rescue Face Cream,BIOSSANCE,Personal Care,https://amzn.to/4nyatBA,USA,"EWG Verified, Accepted National Eczema Association."
Squalane + Omega Repair Cream,BIOSSANCE,Personal Care,https://amzn.to/401dbWo,USA,"EWG Verified, Accepted National Eczema Association."
Stainless Steel Mason Jar Straw Cup / Sippy Cup for Kids,Mason Bottle,Tableware,https://amzn.to/4jWYCdH,USA,"Toxin-free stainless steel cup compatible with regular mouth Mason jar tops, including the provided platinum medical-grade silicone straw top."
Stainless Steel Serverspoon,Rada Cutlery,Cookware,https://amzn.to/4lTw1b2,USA,Unusual little utensil that does a great job cooking ground meat and serving casserole.
Glass Bakeware,Anchor Hocking,Cookware,https://amzn.to/3YjWWTp,USA,Essential bakeware set made from dishwasher safe and microwave safe glass. Oven safe up to 425°F.
Silicone Straw Tops for Mason Jars (Sippy Cups),Mason Bottle,Tableware,https://amzn.to/45IGUa4,USA,Platinum medical-grade silicone. Made in USA. Turns any regular mouth Mason jar into a straw cup!
Stainless Steel Cook's Spoon,Rada Cutlery,Cookware,https://amzn.to/446TNdn,USA,Simple and comfortable. Available with or without holes.
Baby Spoon and Fork,Liberty Tabletop,Tableware,https://amzn.to/3YfamQD,USA,"Made in USA and includes a feeder spoon (for you to spoon feed) and self-feeding spoon and fork, for when baby is ready to try it on their own!"
Stackable Mason Jar Glasses,Ball,Tableware,https://amzn.to/45rb6GC,USA,Stackable 16 oz (2 cup) glasses. Made in USA. Compatible with other Wide Mouth Mason jars.
Stainless Steel Flatware,Liberty Tabletop,Tableware,https://amzn.to/4lKqXWF,USA,"18/10 stainless steel cutlery manufactured in New York. My favorite is the American Industrial design, which doesn't show fingerprints or scratches."
Stainless Steel Plates and Bowls,Snow Peak,Tableware,https://amzn.to/3SksnJW,Japan,"Family tableware set with 4 dishes, 4 medium bowls, 4 large bowls, and 4 plates. Shatterproof and great for toddlers, picnics, or camping."
Insulated Stainless Steel Tumbler,Yeti,Tableware,https://amzn.to/4jQ5DNp,China,"Replace the plastic straw with a Hummingbird glass straw, also listed here."
Dental Floss Picks,The Humble Co.,Personal Care,https://amzn.to/3YnDbu6,,BPA and PFAS free!
Magnesium L-Threonate,Momentous,Supplements,https://www.livemomentous.com/products/magnesium-threonate,USA,NSF Certified for Sport.
"Choline, Alpha GPC",Momentous,Supplements,https://www.livemomentous.com/products/alpha-gpc,,"NSF Certified for Sport. "
Facial Tissues,Caboo,Personal Care,https://amzn.to/4jnDn4z,,"Recycled tissues can contain BPA from receipt paper. Bamboo tissues avoid this, but can be less soft feeling. These are one of the softer brands. "
Cotton Buds,Clean Skin Club,Personal Care,https://amzn.to/4j5LnHU,,Chlorine-free. Made with organic cotton and bamboo.
"Wet Wipes, Face and Diaper Wipes",Jackson Reece,Personal Care,https://amzn.to/3GgVsmw,,"Plastic-free. Made in UK. "
"Dry Wipes, 100% Cotton",Whoopsie Wipes,Personal Care,https://amzn.to/4j6fkYl,,Add water to make a wet wipe!
